numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;
07460;20180112150000;102430;-10;5;20;3.000000;279.850000;277.850000;87;23750;0;mq;mq;90;7;450;mq;mq;mq;98460;mq;mq;670;mq;mq;mq;mq;276.950000;mq;mq;4.600000;6.200000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;1.000000;1.600000;mq;mq;mq;mq;1;mq;360;4;mq;1020;7;mq;1200;mq;mq;mq;
07471;20180112150000;mq;20;3;350;3.700000;276.850000;274.350000;84;20000;0;mq;mq;100;8;800;mq;mq;mq;92450;mq;829;610;mq;mq;mq;mq;274.550000;mq;mq;6.000000;7.300000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.200000;0.200000;0.200000;mq;mq;mq;mq;1;mq;630;8;mq;1290;mq;mq;mq;mq;mq;mq;
07481;20180112150000;102340;10;3;60;2.200000;279.250000;276.050000;80;9000;1;2;2;90;7;450;36;mq;mq;99400;mq;mq;710;mq;mq;mq;mq;mq;mq;mq;3.700000;5.200000;-10;0;0.000000;0.000000;-30;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;5;7;540;7;6;650;mq;mq;mq;mq;mq;mq;
07510;20180112150000;102490;-110;6;80;1.700000;279.050000;278.950000;99;3440;10;mq;mq;100;8;80;mq;mq;mq;101890;mq;mq;650;mq;mq;mq;mq;272.750000;mq;mq;3.200000;3.600000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;-0.100000;mq;mq;mq;mq;8;mq;90;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07535;20180112150000;102460;-50;5;300;1.000000;279.350000;277.850000;90;12070;0;mq;mq;100;8;250;mq;mq;mq;99260;mq;mq;570;mq;mq;mq;mq;278.050000;mq;mq;2.200000;3.600000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;1.600000;2.000000;mq;mq;mq;mq;5;mq;270;7;mq;420;8;mq;900;mq;mq;mq;
07558;20180112150000;102160;-70;6;350;5.100000;278.750000;274.050000;72;20000;0;mq;mq;mq;mq;mq;mq;mq;mq;93710;mq;mq;480;mq;mq;mq;mq;273.550000;mq;mq;7.800000;8.600000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07577;20180112150000;102110;20;3;20;7.500000;282.050000;276.250000;67;20000;0;mq;mq;mq;mq;mq;mq;mq;mq;101200;mq;mq;730;mq;mq;mq;mq;278.650000;mq;mq;12.400000;12.700000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;-0.100000;-0.100000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07591;20180112150000;mq;0;5;80;4.300000;282.050000;267.750000;36;20000;0;mq;mq;mq;mq;mq;mq;mq;mq;91640;mq;797;640;mq;mq;mq;mq;271.950000;mq;mq;7.200000;8.700000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07607;20180112150000;102400;-140;6;190;0.600000;285.150000;276.650000;56;60000;0;mq;mq;mq;5;5760;mq;mq;mq;101680;mq;mq;500;mq;mq;mq;mq;276.550000;mq;mq;1.200000;1.900000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;-0.100000;mq;mq;mq;mq;5;mq;5760;5;mq;6600;mq;mq;mq;mq;mq;mq;
07621;20180112150000;102360;-90;6;30;3.100000;282.450000;275.550000;62;58140;0;mq;mq;mq;1;1250;mq;mq;mq;97980;mq;mq;410;mq;mq;mq;mq;276.450000;mq;mq;5.200000;5.200000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;-0.100000;-0.100000;mq;mq;mq;mq;1;mq;1170;mq;mq;mq;mq;mq;mq;mq;mq;mq;
