Identifiant station,Nom station,Station en fonctionnement,Capacité de la station,Nombre bornettes libres,Nombre total vélos disponibles,Vélos mécaniques disponibles,Vélos électriques disponibles,Borne de paiement disponible,Retour vélib possible,Actualisation de la donnée,Coordonnées géographiques,Nom communes équipées,Code INSEE communes équipées
21707,Square Etienne Jarousse,OUI,25,20,5,3,2,OUI,OUI,2020-05-29T10:35:22Z,"48.824851826,2.29259334505",Vanves,NA
14031,Didot - Place de Moro-Giafferi,OUI,22,20,2,1,1,OUI,OUI,2020-05-29T10:42:52Z,"48.8337,2.3215",Paris,NA
26004,Gare RER les Grésillons,OUI,22,6,16,11,5,OUI,OUI,2020-05-29T10:42:48Z,"48.9198986336,2.31458459136",Asnières-sur-Seine,NA
6010,Chevreuse - Montparnasse,OUI,15,8,7,3,4,OUI,OUI,2020-05-29T10:40:35Z,"48.8417391612,2.33155221674",Paris,NA
8117,Place de la Madeleine - Royale,OUI,26,2,24,14,10,OUI,OUI,2020-05-29T10:43:26Z,"48.8692280526,2.32442110777",Paris,NA
6104,Herschel - Observatoire,OUI,37,34,2,1,1,OUI,OUI,2020-05-29T10:36:32Z,"48.8434237622,2.33766451478",Paris,NA
20006,Pyrénées - Plaine,OUI,12,5,7,3,4,OUI,OUI,2020-05-29T10:38:15Z,"48.8502670246,2.4062821269",Paris,NA
10006,Petites Ecuries - Faubourg Saint-Denis,OUI,28,9,19,15,4,OUI,OUI,2020-05-29T10:43:30Z,"48.8728712059,2.35421508551",Paris,NA
4015,Mairie du 4ème,OUI,44,37,5,1,4,OUI,OUI,2020-05-29T10:38:57Z,"48.8559499105,2.35638231039",Paris,NA
42019,Lampes,OUI,43,21,20,11,9,OUI,OUI,2020-05-29T10:43:15Z,"48.8115248199,2.40179311484",Ivry-sur-Seine,NA
1015,Place André Malraux,OUI,19,1,17,11,6,OUI,OUI,2020-05-29T10:42:31Z,"48.8639251587,2.33562268317",Paris,NA
18016,Francoeur - Caulaincourt,OUI,34,33,1,0,1,OUI,OUI,2020-05-29T10:37:46Z,"48.889994441,2.34252970666",Paris,NA
8040,Pierre Charron - Champs-Elysées,OUI,32,4,28,18,10,OUI,OUI,2020-05-29T10:43:22Z,"48.8701033599,2.30435013771",Paris,NA
9025,Taitbout - Châteaudun,OUI,39,24,12,8,4,OUI,OUI,2020-05-29T10:43:28Z,"48.8763839694,2.33535667793",Paris,NA
17036,Place Tristan Bernard,OUI,28,19,9,8,1,OUI,OUI,2020-05-29T10:43:19Z,"48.8791964,2.2915403",Paris,NA
22404,Pierre Brossolette - 12 Février 1934,OUI,25,19,6,1,5,OUI,OUI,2020-05-29T10:41:30Z,"48.8176291291,2.30749636889",Malakoff,NA
31701,Mairie de Bagnolet,OUI,28,15,13,5,8,OUI,OUI,2020-05-29T10:41:05Z,"48.8684213186,2.41795878857",Bagnolet,NA
20143,Ramponeau - Belleville,OUI,44,40,3,1,2,OUI,OUI,2020-05-29T10:42:21Z,"48.8710311376,2.37905685211",Paris,NA
14108,Le Brix et Mesmin - Jourdan,OUI,21,6,15,6,9,OUI,OUI,2020-05-29T10:39:55Z,"48.8223409659,2.3278616533",Paris,NA
43002,Lagny - Victor Basch,OUI,26,19,7,6,1,OUI,OUI,2020-05-29T10:41:37Z,"48.8488414719,2.42632541893",Vincennes,NA
48003,Youri Gagarine - Karl Marx,OUI,22,20,2,0,2,OUI,OUI,2020-05-29T10:41:44Z,"48.7844848508,2.3590843007",Villejuif,NA
18024,Clignancourt - Ordener,OUI,35,31,3,0,3,OUI,OUI,2020-05-29T10:42:05Z,"48.8914577262,2.34863647806",Paris,NA
7018,Ségur - d'Estrées,OUI,19,1,17,12,5,OUI,OUI,2020-05-29T10:41:33Z,"48.851419979,2.30970449746",Paris,NA
8036,Lisbonne - Monceau,OUI,33,11,21,7,14,OUI,OUI,2020-05-29T10:43:16Z,"48.8774556768,2.30969422142",Paris,NA
18107,Chartres - La Charbonnière,OUI,34,32,2,0,2,OUI,OUI,2020-05-29T10:43:25Z,"48.8847601,2.3534657",Paris,NA
33017,Anatole France - President Roosevelt,OUI,29,14,15,2,13,OUI,OUI,2020-05-29T10:42:56Z,"48.9155156,2.3814103",Aubervilliers,NA
20112,Jourdain - Place des Grandes Rigoles,OUI,22,18,4,2,2,OUI,OUI,2020-05-29T10:41:53Z,"48.8740311373,2.38959476352",Paris,NA
15201,Place Amédée Gordini - Lefebvre,NON,0,0,0,0,0,NON,NON,2020-02-04T09:32:28Z,"48.8306173775,2.29206342083",Paris,NA
18028,Championnet - Vauvenargues,OUI,33,27,6,1,5,OUI,OUI,2020-05-29T10:35:35Z,"48.8940187474,2.33198728412",Paris,NA
16008,Galilée - Kléber,OUI,33,28,3,0,3,OUI,OUI,2020-05-29T10:39:12Z,"48.8674118657,2.29078138011",Paris,NA
16038,Molitor - Chardon-Lagache,OUI,34,28,5,3,2,OUI,OUI,2020-05-29T10:42:58Z,"48.8452088018,2.2656840831",Paris,NA
2111,Chabanais - Petits Champs,NON,0,0,0,0,0,NON,NON,2019-10-10T08:34:34Z,"48.867281,2.336729",Paris,NA
10014,Marseille - Beaurepaire,OUI,55,46,8,3,5,OUI,OUI,2020-05-29T10:37:56Z,"48.871624307,2.36392650827",Paris,NA
19016,Hautpoul - Jean Jaurès,OUI,32,29,3,0,3,OUI,OUI,2020-05-29T10:38:25Z,"48.8863936794,2.38654145444",Paris,NA
19013,Laumière - Petit,OUI,34,29,5,1,4,OUI,OUI,2020-05-29T10:43:25Z,"48.8846736854,2.38003905863",Paris,NA
13041,Porte d'Ivry,OUI,50,27,20,11,9,OUI,OUI,2020-05-29T10:43:18Z,"48.8217687476,2.36887067556",Paris,NA
11007,Jean Macé - Faidherbe,OUI,63,38,24,20,4,OUI,OUI,2020-05-29T10:42:41Z,"48.8533754843,2.38286208361",Paris,NA
