numer_sta,date,pmer,tend,cod_tend,dd,ff,t,td,u,vv,ww,w1,w2,n,nbas,hbas,cl,cm,ch,pres,niv_bar,geop,tend24,tn12,tn24,tx12,tx24,tminsol,sw,tw,raf10,rafper,per,etat_sol,ht_neige,ssfrai,perssfrai,rr1,rr3,rr6,rr12,rr24,phenspe1,phenspe2,phenspe3,phenspe4,nnuage1,ctype1,hnuage1,nnuage2,ctype2,hnuage2,nnuage3,ctype3,hnuage3,nnuage4,ctype4,hnuage4,X60
67005,20200524150000,101470,50,3,180,6.1,299.95,295.550000,77,20000,0,mq,mq,mq,0,mq,mq,mq,mq,101390,mq,mq,-140,mq,mq,mq,mq,mq,mq,mq,8.400000,8.500000,-10,mq,mq,mq,mq,0.000000,0.000000,0.000000,0.000000,0.000000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,NA
71805,20200524150000,102540,60,2,270,6.9,282.55,275.650000,62,35000,3,0,0,50,0,7500,30,20,11,102450,mq,mq,1100,mq,mq,mq,mq,277.550000,mq,mq,11.000000,11.400000,-10,0,0.000000,0.000000,-30,0.000000,0.000000,0.000000,0.000000,0.000000,mq,mq,mq,mq,4,0,7500,mq,mq,mq,mq,mq,mq,mq,mq,mq,NA
78890,20200524150000,101660,30,0,130,5.8,302.15,296.150000,70,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,101340,mq,mq,-130,mq,299.950000,mq,303.850000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,0.000000,0.000000,0.000000,0.000000,0.000000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,NA
78894,20200524150000,101690,30,1,120,2.7,304.35,295.350000,59,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,101180,mq,mq,-90,mq,299.150000,mq,306.050000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,0.000000,0.000000,0.000000,0.000000,0.000000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,NA
78897,20200524150000,101650,20,0,150,4.8,302.65,294.650000,62,59280,mq,mq,mq,mq,mq,mq,mq,mq,mq,101560,mq,mq,-130,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,0.000000,-0.100000,1.600000,1.600000,1.600000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,NA
78922,20200524150000,101650,10,0,140,5.2,303.35,296.250000,66,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,101210,mq,mq,-140,mq,299.450000,mq,304.350000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,0.000000,0.000000,0.000000,0.000000,0.000000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,NA
78925,20200524150000,101610,-20,8,90,4.8,302.35,297.250000,74,60000,0,mq,mq,100,7,800,mq,mq,mq,101520,mq,mq,-120,mq,mq,mq,mq,mq,mq,mq,8.200000,11.000000,-10,mq,mq,mq,mq,-0.100000,-0.100000,0.200000,0.200000,0.200000,mq,mq,mq,mq,1,mq,750,4,mq,1080,7,mq,1260,mq,mq,mq,NA
81405,20200524150000,101490,-20,8,290,0.7,300.55,298.150000,87,60000,61,mq,mq,mq,1,1250,mq,mq,mq,101400,mq,mq,-10,mq,mq,mq,mq,299.250000,mq,mq,1.400000,1.600000,-10,mq,mq,mq,mq,-0.100000,15.700000,15.900000,18.100000,40.900000,mq,mq,mq,mq,1,mq,1020,mq,mq,mq,mq,mq,mq,mq,mq,mq,NA
81415,20200524150000,101530,10,8,140,1.3,303.55,298.150000,73,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,100330,mq,mq,20,mq,296.750000,mq,306.050000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,0.000000,0.000000,0.000000,0.000000,0.000000,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,NA
89642,20200524150000,98330,90,3,250,1.5,253.45,249.350000,67,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,97760,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,mq,NA
